ora,minuti,secondi,millisecondi,mvmt,thr,motion_index,picco,state,pkt_s,channel,rssi,headcount
23,2,5,96,0.0000,2.69,0.000000,0,IDLE,0,6,-43,0
23,2,6,663,0.0154,2.69,0.005725,0,IDLE,60,6,-42,0
23,2,8,472,0.0149,2.69,0.005539,0,IDLE,58,6,-41,0
23,2,10,213,0.0087,2.69,0.003234,0,IDLE,57,6,-42,0
23,2,11,851,0.0126,2.69,0.004684,0,IDLE,60,6,-42,0
23,2,13,592,0.0111,2.69,0.004126,0,IDLE,58,6,-41,0
23,2,15,120,0.0087,2.69,0.003234,0,IDLE,63,6,-43,0
23,2,16,870,0.0127,2.69,0.004721,0,IDLE,61,6,-42,0
23,2,18,423,0.0187,2.69,0.006952,0,IDLE,57,6,-41,0
23,2,20,250,0.0165,2.69,0.006134,0,IDLE,58,6,-42,0
23,2,21,787,0.0162,2.69,0.006022,0,IDLE,61,6,-42,0
23,2,23,629,0.0218,2.69,0.008104,0,IDLE,57,6,-43,0
23,2,25,265,0.0169,2.69,0.006283,0,IDLE,60,6,-41,0
23,2,26,816,0.0158,2.69,0.005874,0,IDLE,60,6,-41,0
23,2,28,543,0.0100,2.69,0.003717,0,IDLE,61,6,-41,0
23,2,30,184,0.0113,2.69,0.004201,0,IDLE,57,6,-43,0
23,2,31,923,0.0143,2.69,0.005316,0,IDLE,60,6,-42,0
23,2,33,662,0.0136,2.69,0.005056,0,IDLE,58,6,-41,0
23,2,35,200,0.0154,2.69,0.005725,0,IDLE,65,6,-41,0
23,2,36,735,2.3988,2.69,0.891747,0,IDLE,63,6,-41,0
23,2,38,479,0.0153,2.69,0.005688,0,IDLE,57,6,-41,0
23,2,40,113,0.0130,2.69,0.004833,0,IDLE,61,6,-41,0
23,2,41,661,0.0129,2.69,0.004796,0,IDLE,64,6,-41,0
23,2,43,393,0.0101,2.69,0.003755,0,IDLE,58,6,-41,0
23,2,45,34,0.0126,2.69,0.004684,0,IDLE,57,6,-41,0
23,2,46,724,0.0123,2.69,0.004572,0,IDLE,60,6,-41,0
23,2,48,515,0.0136,2.69,0.005056,0,IDLE,57,6,-41,0
23,2,50,253,0.0116,2.69,0.004312,0,IDLE,57,6,-41,0
23,2,51,993,0.0102,2.69,0.003792,0,IDLE,56,6,-43,0
23,2,53,734,0.0144,2.69,0.005353,0,IDLE,57,6,-42,0
23,2,55,378,0.0137,2.69,0.005093,0,IDLE,58,6,-42,0
23,2,57,40,0.0163,2.69,0.006059,0,IDLE,60,6,-41,0
23,2,58,751,0.0096,2.69,0.003569,0,IDLE,60,6,-43,0
23,3,0,594,0.0106,2.69,0.003941,0,IDLE,54,6,-43,0
23,3,2,45,0.0136,2.69,0.005056,0,IDLE,64,6,-41,0
23,3,3,771,0.0204,2.69,0.007584,0,IDLE,61,6,-42,0
23,3,5,615,0.0174,2.69,0.006468,0,IDLE,58,6,-43,0
23,3,7,152,0.0115,2.69,0.004275,0,IDLE,60,6,-41,0
23,3,9,0,0.0123,2.69,0.004572,0,IDLE,51,6,-41,0
23,3,10,839,0.6935,2.69,0.257807,0,IDLE,57,6,-41,0
23,3,12,579,0.0392,2.69,0.014572,0,IDLE,56,6,-41,0
23,3,14,321,0.0301,2.69,0.011190,0,IDLE,57,6,-41,0
23,3,16,62,0.0371,2.69,0.013792,0,IDLE,58,6,-41,0
23,3,17,698,0.0231,2.69,0.008587,0,IDLE,61,6,-42,0
23,3,19,136,0.0367,2.69,0.013643,0,IDLE,67,6,-41,0
23,3,20,895,0.0362,2.69,0.013457,0,IDLE,60,6,-43,0
23,3,22,817,0.0553,2.69,0.020558,0,IDLE,51,6,-42,0
23,3,24,566,0.0357,2.69,0.013271,0,IDLE,54,6,-41,0
23,3,26,196,0.0335,2.69,0.012454,0,IDLE,60,6,-41,0
23,3,27,736,0.0510,2.69,0.018959,0,IDLE,61,6,-43,0
23,3,29,576,0.0568,2.69,0.021115,0,IDLE,59,6,-41,0
23,3,31,112,0.0396,2.69,0.014721,0,IDLE,61,6,-41,0
23,3,32,648,0.0360,2.69,0.013383,0,IDLE,66,6,-43,0
23,3,34,303,0.0405,2.69,0.015056,0,IDLE,56,6,-41,0
23,3,35,841,0.4763,2.69,0.177063,0,IDLE,70,6,-43,0
23,3,37,360,0.0392,2.69,0.014572,0,IDLE,64,6,-41,0
23,3,38,998,0.0622,2.69,0.023123,0,IDLE,60,6,-41,0
23,3,40,566,0.0336,2.69,0.012491,0,IDLE,60,6,-43,0
23,3,42,178,0.0343,2.69,0.012751,0,IDLE,62,6,-43,0
23,3,43,725,0.0481,2.69,0.017881,0,IDLE,64,6,-43,0
23,3,45,76,0.0459,2.69,0.017063,0,IDLE,73,6,-42,0
23,3,46,678,0.0274,2.69,0.010186,0,IDLE,65,6,-43,0
23,3,48,251,0.0463,2.69,0.017212,0,IDLE,60,6,-42,0
23,3,49,956,0.0331,2.69,0.012305,0,IDLE,61,6,-40,0
23,3,51,593,0.2375,2.69,0.088290,0,IDLE,60,6,-41,0
23,3,53,231,0.0139,2.69,0.005167,0,IDLE,62,6,-41,0
23,3,54,986,0.0049,2.69,0.001822,0,IDLE,59,6,-41,0
23,3,56,610,0.0091,2.69,0.003383,0,IDLE,57,6,-41,0
23,3,58,249,0.0069,2.69,0.002565,0,IDLE,61,6,-41,0
23,3,59,871,0.0060,2.69,0.002230,0,IDLE,60,6,-41,0
23,4,1,322,0.0084,2.69,0.003123,0,IDLE,70,6,-42,1
23,4,2,857,0.0153,2.69,0.005688,0,IDLE,64,6,-42,1
23,4,4,701,0.0415,2.69,0.015428,0,IDLE,55,6,-46,1
23,4,6,444,0.2011,2.69,0.074758,0,IDLE,57,6,-48,1
23,4,8,50,0.4282,2.69,0.159182,0,IDLE,60,6,-44,1
23,4,9,720,0.6467,2.69,0.240409,0,IDLE,60,6,-44,1
23,4,11,562,0.4615,2.69,0.171561,0,IDLE,56,6,-47,1
23,4,13,100,1.5138,2.69,0.562751,0,IDLE,61,6,-44,1
23,4,14,942,1.9080,2.69,0.709294,0,IDLE,54,6,-47,1
23,4,16,480,1.6808,2.69,0.624833,0,IDLE,64,6,-44,1
23,4,18,19,7.1501,2.69,2.658030,1,MOTION,65,6,-46,1
23,4,19,755,2.6679,2.69,0.991784,0,MOTION,57,6,-44,1
23,4,21,496,2.1091,2.69,0.784052,0,IDLE,57,6,-48,1
23,4,23,340,1.6917,2.69,0.628885,0,IDLE,54,6,-47,1
23,4,24,802,1.0630,2.69,0.395167,0,IDLE,64,6,-46,1
23,4,26,514,1.0333,2.69,0.384126,0,IDLE,61,6,-50,1
23,4,28,154,4.3293,2.69,1.609405,1,IDLE,59,6,-50,1
23,4,29,893,2.5614,2.69,0.952193,0,MOTION,58,6,-45,1
23,4,31,429,3.8524,2.69,1.432119,1,IDLE,63,6,-48,1
23,4,33,69,0.6720,2.69,0.249814,0,IDLE,61,6,-47,1
23,4,34,708,0.1209,2.69,0.044944,0,IDLE,57,6,-45,1
23,4,36,549,0.4421,2.69,0.164349,0,IDLE,57,6,-41,1
23,4,38,105,0.3499,2.69,0.130074,0,IDLE,60,6,-48,1
23,4,39,826,1.3568,2.69,0.504387,0,IDLE,61,6,-47,1
23,4,41,394,1.7479,2.69,0.649777,0,IDLE,60,6,-47,1
23,4,42,950,0.3011,2.69,0.111933,0,IDLE,64,6,-46,1
23,4,44,742,0.0515,2.69,0.019145,0,IDLE,58,6,-47,1
23,4,46,482,0.1443,2.69,0.053643,0,IDLE,57,6,-51,1
23,4,48,34,0.2157,2.69,0.080186,0,IDLE,60,6,-47,1
23,4,49,763,0.1727,2.69,0.064201,0,IDLE,60,6,-44,1
23,4,51,399,0.6211,2.69,0.230892,0,IDLE,61,6,-47,1
23,4,52,957,10.8318,2.69,4.026691,1,MOTION,60,6,-46,1
23,4,54,781,8.6516,2.69,3.216208,1,MOTION,57,6,-47,1
23,4,56,416,2.5910,2.69,0.963197,0,MOTION,60,6,-46,1
23,4,57,953,0.5581,2.69,0.207472,0,IDLE,65,6,-48,1
23,4,59,796,1.4542,2.69,0.540595,0,IDLE,54,6,-46,1
23,5,1,436,1.0681,2.69,0.397063,0,IDLE,61,6,-46,1
23,5,3,74,1.1435,2.69,0.425093,0,IDLE,61,6,-46,1
23,5,4,712,7.8930,2.69,2.934201,1,IDLE,59,6,-44,1
23,5,6,454,5.8739,2.69,2.183606,1,MOTION,58,6,-43,1
23,5,7,989,2.6632,2.69,0.990037,0,MOTION,64,6,-45,1
23,5,9,659,0.3014,2.69,0.112045,0,IDLE,56,6,-46,1
23,5,11,368,0.3245,2.69,0.120632,0,IDLE,61,6,-45,1
23,5,13,111,0.1890,2.69,0.070260,0,IDLE,57,6,-47,1
23,5,14,848,0.0913,2.69,0.033941,0,IDLE,58,6,-47,1
23,5,16,590,0.4115,2.69,0.152974,0,IDLE,57,6,-48,1
23,5,18,127,0.4038,2.69,0.150112,0,IDLE,64,6,-42,1
23,5,19,765,0.4876,2.69,0.181264,0,IDLE,61,6,-47,1
23,5,21,404,0.2812,2.69,0.104535,0,IDLE,61,6,-47,1
23,5,23,47,0.2571,2.69,0.095576,0,IDLE,59,6,-45,1
23,5,24,783,0.2303,2.69,0.085613,0,IDLE,55,6,-46,1
23,5,26,523,0.4504,2.69,0.167435,0,IDLE,59,6,-49,1
23,5,28,161,0.4704,2.69,0.174870,0,IDLE,58,6,-48,1
23,5,30,5,0.1275,2.69,0.047398,0,IDLE,56,6,-43,1
23,5,31,850,0.2149,2.69,0.079888,0,IDLE,54,6,-46,1
23,5,33,561,0.3635,2.69,0.135130,0,IDLE,57,6,-46,1
23,5,35,330,0.2511,2.69,0.093346,0,IDLE,58,6,-48,1
23,5,36,984,0.1023,2.69,0.038030,0,IDLE,56,6,-45,1
23,5,38,712,0.2056,2.69,0.076431,0,IDLE,60,6,-47,1
